"HLA_II_index","HLA_II_asso_training_size","pvalue"
1,447,0.885011847229313
2,499,0.405245812972341
7,447,0.103424877163972
8,499,0.501358591966547
11,607,0.242164690426173
12,499,0.659076570194954
13,499,0.130800706746598
14,499,1
18,499,0.740605732184618
23,447,0.466731008305981
24,607,1
26,447,0.771644773706097
27,499,1
28,499,0.405245812972341
29,447,1
31,499,1
32,499,0.501358591966547
33,499,0.31166521639843
34,499,1
37,607,0.0201098263700223
38,607,0.676796428451747
39,607,0.384362974389569
40,499,0.698441896190909
41,499,0.00517524737701927
44,447,0.360493559295724
45,447,0.222261634652239
46,447,0.861583902281904
50,499,1
51,499,0.0265881596012237
53,499,0.413383371925572
58,447,0.0878006905634777
59,499,0.678538934850836
60,499,0.348181602108629
61,499,0.257325752563358
62,499,0.626703612795553
63,499,0.372596581135911
64,607,0.491845411761041
65,499,6.1868748955476e-06
67,499,0.166512314123477
68,607,0.0392433885666544
71,499,0.051869692274444
72,607,0.707473010204868
73,499,0.4045548382751
74,499,0.405245812972341
75,499,1
76,607,0.0940638632418664
77,607,0.0884440548293258
79,607,0.00650323126073568
80,499,0.640271647427702
81,447,0.00701787806327024
83,499,0.169049158502972
89,499,0.769903558374691
90,607,0.705905935033619
91,607,1
93,607,0.120105190014861
95,607,0.0392433885666544
96,499,0.768086736685655
97,607,0.281899371759809
98,499,0.214962089752835
100,447,0.06991261431589
102,447,0.518847428048601
103,499,0.653868060275142
104,447,1
105,499,0.768629859082176
106,499,0.210178068223592
107,499,0.563080651459762
110,499,1
111,607,1
112,499,0.478371910897945
114,447,1
120,499,0.0387979477212093
121,499,0.0451554565478839
128,447,0.442750441689336
131,447,0.360457086171355
132,499,0.120202391931443
134,607,1
136,499,1
137,499,1
138,499,0.653961200274817
139,447,0.620978561003655
140,499,0.768629859082176
141,499,1
142,447,0.735719324386861
143,499,0.740605732184618
144,499,0.781516748347876
145,499,0.614033390807879
150,499,0.531502189762015
152,499,0.740605732184618
153,499,0.382373820790108
154,607,0.329182820139433
155,607,0.113440081171612
158,499,0.643147487783405
159,607,0.762086691538775
160,607,0.027567106092586
161,607,0.318195191173201
162,607,0.119696631609043
163,607,0.00139748577880798
164,607,1
165,499,0.454122592883598
166,499,1
168,447,0.0562826492332051
169,499,1
170,499,0.0507709325684677
172,447,1
173,607,0.017376425783245
174,499,0.768086736685655
175,607,0.198916926289003
176,607,0.632366768817958
177,447,0.619835991971215
178,607,1
179,499,0.00517524737701927
181,607,0.601518141350694
185,447,0.00338456820399671
186,447,0.339552517163828
188,499,0.837859550473009
190,499,0.247583215126629
191,499,0.292324603062826
193,499,0.102245984677364
195,499,1
196,607,0.0884440548293258
198,607,0.00107268797916087
199,499,0.845488047051822
201,499,1
202,499,1
203,499,0.333408347715566
206,499,0.698441896190909
207,499,0.531502189762015
210,447,0.761973992264689
211,499,0.653961200274817
215,447,0.0600631450432848
216,499,0.257325752563358
217,499,1
218,499,0.501358591966547
219,499,0.769903558374691
220,499,0.120202391931443
