"V1","V2","V3","V4","V5"
2,NA,NA,NA,NA
3,14,4,NA,NA
4,3,NA,NA,NA
5,48,NA,NA,NA
8,193,NA,NA,NA
9,212,NA,NA,NA
14,3,NA,NA,NA
15,NA,NA,NA,NA
16,46,NA,NA,NA
18,19,NA,NA,NA
19,18,NA,NA,NA
20,21,NA,NA,NA
21,20,NA,NA,NA
24,NA,NA,NA,NA
29,203,116,NA,NA
34,213,NA,NA,NA
35,NA,NA,NA,NA
41,NA,NA,NA,NA
42,81,211,77,NA
46,16,NA,NA,NA
47,87,NA,NA,NA
48,5,NA,NA,NA
51,53,NA,NA,NA
53,51,NA,NA,NA
54,NA,NA,NA,NA
55,100,56,204,125
56,204,55,100,125
65,NA,NA,NA,NA
68,100,NA,NA,NA
69,134,179,NA,NA
77,211,81,42,NA
81,211,42,77,NA
83,117,84,NA,NA
84,85,83,NA,NA
85,84,NA,NA,NA
86,98,NA,NA,NA
87,47,100,NA,NA
91,NA,NA,NA,NA
93,NA,NA,NA,NA
98,114,86,NA,NA
100,55,68,87,56
107,108,NA,NA,NA
108,107,NA,NA,NA
112,NA,NA,NA,NA
114,98,NA,NA,NA
115,116,203,NA,NA
116,115,29,126,NA
117,83,NA,NA,NA
118,211,NA,NA,NA
121,NA,NA,NA,NA
122,123,124,NA,NA
123,124,122,NA,NA
124,123,122,NA,NA
125,186,128,56,204
126,116,NA,NA,NA
128,125,186,NA,NA
129,134,NA,NA,NA
132,199,NA,NA,NA
134,129,69,NA,NA
145,207,188,NA,NA
146,183,NA,NA,NA
147,150,NA,NA,NA
148,NA,NA,NA,NA
150,147,NA,NA,NA
155,156,NA,NA,NA
156,155,199,191,NA
166,196,NA,NA,NA
170,NA,NA,NA,NA
179,69,NA,NA,NA
181,182,NA,NA,NA
182,181,NA,NA,NA
183,146,NA,NA,NA
186,125,128,56,204
188,145,207,NA,NA
191,156,NA,NA,NA
193,8,NA,NA,NA
196,203,166,NA,NA
199,156,132,NA,NA
203,29,115,196,NA
204,56,55,100,125
207,145,188,NA,NA
208,NA,NA,NA,NA
211,77,81,42,118
212,9,NA,NA,NA
213,34,NA,NA,NA
